Date,cad,oil
2018-05-01,1.2901,13.61
2018-04-30,1.2819,13.8
2018-04-27,1.2863,13.73
2018-04-26,1.2874,13.77
2018-04-25,1.2876,13.72
2018-04-24,1.2826,13.68
2018-04-23,1.2829,13.92
2018-04-20,1.2721,13.75
2018-04-19,1.261,13.77
2018-04-18,1.2595,13.88
2018-04-17,1.2569,13.41
2018-04-16,1.2574,13.38
2018-04-13,1.2608,13.55
2018-04-12,1.2608,13.52
2018-04-11,1.2573,13.45
2018-04-10,1.2624,13.25
2018-04-09,1.2728,12.77
2018-04-06,1.2775,12.51
2018-04-05,1.2793,12.83
2018-04-04,1.2823,12.82
2018-04-03,1.2804,12.81
2018-03-29,1.2893,13.09
2018-03-28,1.2888,13.04
2018-03-27,1.2878,13.08
2018-03-26,1.2912,13.21
2018-03-23,1.2872,13.28
2018-03-22,1.2932,12.95
2018-03-21,1.2955,13.18
2018-03-20,1.3088,12.81
2018-03-19,1.3092,12.55
2018-03-16,1.3097,12.55
2018-03-15,1.3058,12.34
2018-03-14,1.2948,12.28
2018-03-13,1.2928,12.24
2018-03-12,1.2836,12.37
2018-03-09,1.2841,12.47
2018-03-08,1.2943,12.15
2018-03-07,1.2969,12.35
2018-03-06,1.29,12.57
2018-03-05,1.2971,12.59
2018-03-02,1.2887,12.37
2018-03-01,1.2845,12.35
2018-02-28,1.2813,12.37
2018-02-27,1.2754,12.65
2018-02-26,1.2706,12.86
2018-02-23,1.2676,12.77
2018-02-22,1.2702,12.59
2018-02-21,1.2664,12.29
2018-02-20,1.2616,12.39
2018-02-16,1.2542,12.38
2018-02-15,1.2525,12.33
2018-02-14,1.2558,12.18
2018-02-13,1.2599,11.87
2018-02-12,1.2614,11.89
2018-02-09,1.2616,11.86
2018-02-08,1.2598,12.09
2018-02-07,1.2541,12.37
2018-02-06,1.2532,12.7
2018-02-05,1.2469,12.77
2018-02-02,1.2391,13.04
2018-02-01,1.2284,13.24
2018-01-31,1.2269,12.98
2018-01-30,1.2327,12.9
2018-01-29,1.2333,13.11
2018-01-26,1.2327,13.24
2018-01-25,1.2287,13.06
2018-01-24,1.2348,13.22
2018-01-23,1.2434,12.97
2018-01-22,1.2445,12.78
2018-01-19,1.245,12.72
2018-01-18,1.2465,12.76
2018-01-17,1.2458,12.78
2018-01-16,1.2408,12.76
2018-01-12,1.2511,12.87
2018-01-11,1.2535,12.7
2018-01-10,1.2482,12.68
2018-01-09,1.2461,12.57
2018-01-08,1.2422,12.38
2018-01-05,1.2395,12.31
2018-01-04,1.2528,12.37
2018-01-03,1.2536,12.34
2018-01-02,1.2503,12.07
2017-12-29,1.2535,12.01
2017-12-28,1.2592,11.97
2017-12-27,1.2664,11.92
2017-12-22,1.2723,11.66
2017-12-21,1.2729,11.64
2017-12-20,1.2852,11.61
2017-12-19,1.2896,11.51
2017-12-18,1.2852,11.44
2017-12-15,1.2827,11.46
2017-12-14,1.284,11.43
2017-12-13,1.2851,11.33
2017-12-12,1.2876,11.44
2017-12-11,1.2853,11.6
2017-12-08,1.2861,11.49
2017-12-07,1.284,11.33
2017-12-06,1.2766,11.2
2017-12-05,1.2685,11.54
2017-12-04,1.2711,11.49
2017-12-01,1.2735,11.67
2017-11-30,1.2884,11.47
2017-11-29,1.2847,11.47
2017-11-28,1.2812,11.58
2017-11-27,1.2722,11.59
2017-11-24,1.2698,11.79
2017-11-22,1.2725,11.6
2017-11-21,1.2764,11.4
2017-11-20,1.28,11.28
2017-11-17,1.2813,11.35
2017-11-16,1.2735,11.07
2017-11-15,1.2774,11.09
2017-11-14,1.2765,11.13
2017-11-13,1.2721,11.38
2017-11-10,1.2677,11.42
2017-11-09,1.2699,11.46
2017-11-08,1.2741,11.41
2017-11-07,1.2798,11.49
2017-11-06,1.2765,11.51
2017-11-03,1.277,11.18
2017-11-02,1.2809,10.99
2017-11-01,1.2891,10.9
2017-10-31,1.2896,10.93
2017-10-30,1.2834,10.87
2017-10-27,1.2889,10.84
2017-10-26,1.2827,10.57
2017-10-25,1.2788,10.48
2017-10-24,1.2672,10.54
2017-10-23,1.2645,10.42
2017-10-20,1.2606,10.43
2017-10-19,1.2462,10.35
2017-10-18,1.2476,10.48
2017-10-17,1.2574,10.49
2017-10-16,1.254,10.46
2017-10-13,1.248,10.37
2017-10-12,1.2473,10.23
2017-10-11,1.2516,10.36
2017-10-10,1.2494,10.28
2017-10-09,1.2552,10.0
2017-10-06,1.2539,9.97
2017-10-05,1.2528,10.25
2017-10-04,1.2476,10.08
2017-10-03,1.2507,10.18
2017-10-02,1.2499,10.21
2017-09-29,1.2502,10.43
2017-09-28,1.2466,10.43
2017-09-27,1.2371,10.52
2017-09-26,1.239,10.49
2017-09-25,1.2344,10.55
2017-09-22,1.23,10.24
2017-09-21,1.2344,10.25
2017-09-20,1.2251,10.24
2017-09-19,1.2288,10.11
2017-09-18,1.2216,10.17
2017-09-15,1.2172,10.2
2017-09-14,1.2195,10.13
2017-09-13,1.2194,10.07
2017-09-12,1.2144,9.87
2017-09-11,1.2141,9.82
2017-09-08,1.2152,9.73
2017-09-07,1.2149,10.03
2017-09-06,1.2231,10.04
2017-09-05,1.2343,9.92
2017-09-01,1.2381,9.67
2017-08-31,1.254,9.63
2017-08-30,1.2617,9.38
2017-08-29,1.2506,9.46
2017-08-25,1.2497,9.75
2017-08-24,1.2522,9.71
2017-08-23,1.2564,9.88
2017-08-22,1.254,9.77
2017-08-21,1.2587,9.71
2017-08-18,1.26,9.97
2017-08-17,1.2649,9.62
2017-08-16,1.2702,9.57
2017-08-15,1.2758,9.75
2017-08-14,1.2685,9.72
2017-08-11,1.2685,9.99
2017-08-10,1.2704,9.91
2017-08-09,1.2709,10.15
2017-08-08,1.2684,10.06
2017-08-07,1.2688,10.1
2017-08-04,1.2653,10.13
2017-08-03,1.2555,10.02
2017-08-02,1.2577,10.14
2017-08-01,1.2487,10.09
2017-07-31,1.2508,10.28
2017-07-28,1.2422,10.17
2017-07-27,1.2511,10.06
2017-07-26,1.2534,9.96
2017-07-25,1.253,9.81
2017-07-24,1.2509,9.5
2017-07-21,1.2527,9.34
2017-07-20,1.255,9.61
2017-07-19,1.2597,9.69
2017-07-18,1.2634,9.54
2017-07-17,1.2648,9.45
2017-07-14,1.2675,9.59
2017-07-13,1.2747,9.47
2017-07-12,1.2824,9.33
2017-07-11,1.2921,9.27
2017-07-10,1.2876,9.13
2017-07-07,1.2891,9.1
2017-07-06,1.2943,9.31
2017-07-05,1.3003,9.25
2017-07-03,1.2994,9.62
2017-06-30,1.2987,9.5
2017-06-29,1.2990000000000002,9.21
2017-06-28,1.3063,9.2
2017-06-27,1.3186,9.1
2017-06-26,1.3239,8.93
2017-06-23,1.3258,8.86
2017-06-22,1.3227,8.78
2017-06-21,1.3284,8.71
2017-06-20,1.3276,8.95
2017-06-19,1.3207,9.12
2017-06-16,1.3242,9.24
2017-06-15,1.3297,9.18
2017-06-14,1.3206,9.23
2017-06-13,1.3225,9.6
2017-06-12,1.3441,9.52
2017-06-09,1.3432,9.49
2017-06-08,1.3503,9.43
2017-06-07,1.3498,9.46
2017-06-06,1.3467,9.97
2017-06-05,1.349,9.8
2017-06-02,1.3513,9.86
2017-06-01,1.3484,9.91
2017-05-31,1.3505,9.96
2017-05-30,1.3468,10.24
2017-05-26,1.345,10.28
2017-05-25,1.3442,10.04
2017-05-24,1.3444,10.6
2017-05-23,1.3485,10.64
2017-05-22,1.3489,10.54
2017-05-19,1.3544,10.48
2017-05-18,1.359,10.26
2017-05-17,1.3599,10.19
2017-05-16,1.3607,10.11
2017-05-15,1.3654,10.17
2017-05-12,1.3724,9.95
2017-05-11,1.3685,9.94
2017-05-10,1.3657,9.86
2017-05-09,1.3703,9.57
2017-05-08,1.3707,9.67
2017-05-05,1.3691,9.66
2017-05-04,1.3718,9.46
2017-05-03,1.3709,9.93
2017-05-02,1.3736,9.92
2017-04-28,1.3672,10.24
2017-04-27,1.3647,10.24
2017-04-26,1.3559,10.26
2017-04-25,1.3601,10.36
2017-04-24,1.3491,10.25
